river_name,reach_id,discharge_value
VENEZ_2023_W,61204400411,1016.752
VENEZ_2023_W,61204400051,1025.594
VENEZ_2023_W,61204400031,1108.272
VENEZ_2023_W,61204400021,1110.742
VENEZ_2023_W,61204400011,1123.275
VENEZ_2023_W,61204300171,2862.789
VENEZ_2023_W,61204300151,2875.107
VENEZ_2023_W,61204300141,2953.874
VENEZ_2023_W,61204300131,2969.0
VENEZ_2023_W,61204300121,2995.751
VENEZ_2023_W,61204300111,3005.847
