channel_elevation,channel_slope,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id
225.5,0.0,0.0,2129.999999999633,13.016129032121171,236.3000030517578,-0.0013331095378521793,-0.01208887735995621,2279.9999999995794,163.0161290320675,232.89999389648438,0.0013331095377838776,8.887396918822355e-05,2759.999999999755,643.016129032243,,,,,,,,,,,101.0,276.888888888889,1.25755302342362,101.0,59588.8525958306,1,1,247.124308990005,2511.51835511458,1,62269400731,62269400730591
227.8800048828125,0.008333333333252868,0.00023332383896958786,2099.9999999984,7.862903226375693,235.27000427246094,0.3256668090797259,0.010855560302580685,2309.9999999980087,202.13709677323277,232.9199981689453,0.001333109537711009,0.0004444376627641502,2819.999999998891,712.137096774115,,,,,,,,,,,94.0,2.12244897959184,1.25755302342362,94.0,59405.8819879176,1,1,249.322701219445,2511.51835511458,1,62269400731,62269400730581
225.0,0.0,0.009622226291350417,2009.9999999999973,1.8266129029016156,235.44000244140625,-0.044999694823752864,-0.014599982368530611,2099.9999999999845,88.17338709708565,233.1300048828125,-0.0009999593098240164,2.2226969401264025e-05,2310.000000001184,298.1733870982853,233.66000366210938,0.0,-0.0006555514865103048,1950.0000000003645,61.82661290253441,225.0,0.0,0.0,1590.0000000003722,421.8266129025267,77.0,123.555555555556,1.25755302342362,77.0,59193.5055019529,1,1,251.207037416107,2511.51835511458,1,62269400731,62269400730571
225.0,0.0,0.0,1410.0000000015687,14.99999999825809,241.57000732421875,-0.04066619873357555,-0.00475553724531934,1289.999999999672,135.00000000015484,229.97000122070312,-0.004666646321739383,-0.00031110975478503656,989.999999999574,435.0000000002527,,,,,,,,,,,72.0,110.222222222222,1.25755302342362,72.0,59011.1290042617,1,1,253.09137361277,2511.51835511458,1,62269400731,62269400730561
224.5,0.0,0.0,2489.999999999664,11.21975806391356,237.5399932861328,0.014333089193048135,-0.0011333380805043233,2819.9999999998195,341.2197580640691,232.8300018310547,0.0006668090820470584,1.1121961806255612e-05,3539.9999999992583,1061.219758063508,242.02999877929688,-0.007000223795590319,-0.002322235107454066,2340.0000000003765,138.78024193537385,229.17999267578125,0.0013331095377788359,0.0001555548773889332,1769.9999999995448,708.7802419362056,127.0,136.0,1.25755302342362,127.0,58817.0640735145,1,1,254.661653776655,2511.51835511458,1,62269400731,62269400730551
224.5,0.0,0.0,2909.999999999741,11.389112903863406,237.80999755859375,0.021666463215865357,-0.003800014919725616,3299.9999999999295,378.6108870963253,232.89999389648438,-0.001333618164077338,-4.4453938803072536e-05,4050.0000000003565,1128.6108870967523,,,,,,,,,,,151.5,377.583333333333,1.25755302342362,151.5,58608.9390569052,1,1,256.545989973318,2511.51835511458,1,62269400731,62269400730541
224.0,0.0,0.0,3120.000000000666,4.572580644903155,235.4199981689453,-0.09166666666621091,-0.018244442409838166,3690.0000000004607,565.4274193548913,233.19000244140625,-0.0006668090820349898,1.1105007596371087e-05,4080.0000000002874,955.427419354718,241.42999267578125,0.04733327229720919,-0.004433322482658312,2970.0000000006285,154.5725806449409,229.63999938964844,-0.0013331095377640944,0.00014446682400060898,2190.0000000005716,934.5725806449977,161.0,68.7755102040816,1.25755302342362,161.0,58414.8733292429,1,1,258.744382202757,2511.51835511458,1,62269400731,62269400730531
224.0,0.0,0.0,4619.99999999917,2.2741935478143205,224.0,-0.4233332316069692,-0.014955546061124744,4499.9999999992,117.72580645215567,231.32000732421875,-0.0033330281575433933,-0.00016665988498208733,4019.9999999993174,597.7258064520379,234.61000061035156,-0.012999979655040928,-0.0004333326551711313,4979.99999999896,362.27419354760514,232.92999267578125,0.0,-0.00012220594618061483,5639.999999999263,1022.274193547908,234.5,473.888888888889,1.61024474664355,234.5,58200.1847035412,1,1,260.62871839942,1920.67440213295,1,62269400731,62269400730521
223.5,0.0,0.0,2759.999999999036,13.022177418354659,234.02999877929688,-0.034000142416563364,-0.0017666795519436938,2969.999999998924,223.0221774182428,232.74000549316406,0.008000183105424245,0.00031110975477029515,3209.999999999506,463.02217741882487,233.02000427246094,0.001666768391885345,-0.0002333238389716896,2609.99999999991,136.97782258077132,231.30999755859375,-0.00366668701174365,-0.000122222900392285,2279.999999998883,466.97782258179814,142.0,658.530612244898,1.61024474664355,142.0,58014.9021454526,1,1,262.82711062886,1920.67440213295,1,62269400731,62269400730511
223.5,0.0,0.0,1920.0000000006987,8.516129031849914,234.1300048828125,0.05099995931012157,0.0016999986436782436,1739.9999999996712,188.51612903287742,231.39999389648438,0.0,0.0012000020344436263,1380.0000000015582,548.5161290309904,,,,,,,,,,,96.0,255.76,1.61024474664355,96.0,57788.5252638692,1,1,264.397390792745,1920.67440213295,1,62269400731,62269400730501
