channel_elevation,channel_slope_r,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope_r,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope_r,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope_r,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope_r,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id,slope,discharge_uncorrected,corrected_discharge,XGB_depth,superelevation1,superelevation2,superelevation_mean,ridge1_slope,ridge2_slope,ridge1_height,ridge2_height,ridge_height_mean,ridge_slope_mean,ridge_width,gamma1,gamma2,gamma_mean,lambda
42.0,0.0,-0.0169777777775873,2460.000000000191,6.363741935146209,57.28,0.0016666666666846,-0.0001333333333331,2399.9999999998545,66.36374193548272,56.06,0.0056666666666347,-0.0020333333333251,2070.000000000173,396.3637419351644,57.08,0.5026666666638474,0.0167555555553676,2520.0000000000346,53.63625806469736,56.65,0.0020000000000214,5.555555555693753e-05,2699.9999999998604,233.6362580645232,84.0,98.0,1.1420377619219,84.0,211114,1,1,637.610188791661,1926.133228803,1,18192000531,18192000530771,0.0016420997686786801,38.858,165.59981283161682,0.7820141,1.5600742285510396,0.5498622280958584,1.054968228323449,0.0005083333333333637,0.00017063492063491817,1.2199999999999989,0.4299999999999997,0.8249999999999993,0.0003394841269841409,629.9999999996876,0.30956300160884587,0.10391263910366422,0.20673782035625504,0.21810183206868983
41.5,0.0,-0.0169444444443735,3209.9999999997426,7.1707096774948695,58.85,0.0420000000005608,0.0013333333333689,3359.999999999593,142.82929032235552,52.89,0.0030000000000403,-0.0005000000000134,3779.999999999538,562.8292903223005,57.06,0.0006666666666548,-0.0002666666666662,3090.0000000004225,127.17070967681502,55.28,0.0009999999999823,2.2222222221092867e-05,2760.0000000001987,457.1707096770388,105.0,364.979591836735,1.1420377619219,105.0,210501,1,1,642.615192736433,1926.133228803,1,18192000531,18192000530741,0.0016420997686786801,38.858,165.59981283161682,0.84428334,7.059241490338959,2.1082969551683477,4.583769222753653,0.001773809523809739,0.0005760517799351967,5.960000000000001,1.7800000000000011,3.870000000000001,0.0011749306518724677,1019.9999999993393,1.0802081320777723,0.3508019372042895,0.7155050346410309,3.2797099565128436
41.5,0.0,0.0,3269.9999999995684,14.178709676823471,56.12,0.0003333333333346,-0.0162444444445404,3360.000000000241,104.17870967749604,53.32,0.0020000000000049,3.3333333334524514e-05,4020.00000000034,764.1787096775952,55.37,0.031666666666745,-0.0001555555555563,3179.9999999998204,75.8212903229246,54.27,0.0006666666666681,-6.666666666699863e-05,2700.000000000171,555.821290322574,108.0,419.836734693878,1.66918620131048,108.0,210106,1,1,646.229917807657,1400.6440853241,1,18192000531,18192000530721,0.0016420997686786801,38.858,165.59981283161682,0.855376,3.2734142448087282,1.2859841676034236,2.279699206206076,0.0008333333333332727,0.00034591194968555233,2.799999999999997,1.0999999999999943,1.9499999999999957,0.0005896226415094125,1320.0000000001692,0.5074803305062374,0.21065221266299264,0.359066271584615,0.8185630943068222
41.5,0.0,0.0,3090.000000000128,9.699225806317372,55.22,0.0033333333333501,2.2222222222448683e-05,3209.9999999997285,110.30077419328336,52.86,0.001000000000005,1.111111111137097e-05,3929.999999999974,830.3007741935289,55.89,0.0293333333334805,0.0006444444444509,2909.999999999965,189.69922580648017,53.07,0.0,-4.444444444458901e-05,2639.9999999997963,459.6992258066489,105.0,803.76,1.66918620131048,105.0,209686,1,1,649.288531329462,1400.6440853241,1,18192000531,18192000530701,0.0016420997686786801,38.858,165.59981283161682,0.84428334,2.7952701203355597,3.3401109065026615,3.0676905134191106,0.0007352024922119,0.0009690721649484653,2.3599999999999994,2.8200000000000003,2.59,0.0008521373285801827,1290.0000000001778,0.447720964484078,0.5901420750629737,0.5189315197735258,1.5919213003234067
41.5,0.0,-0.0191555555555288,2580.000000000183,0.2492903229258445,59.73,0.0229999999999699,0.000466666666665,2460.000000000099,119.75070967715784,49.67,0.0,0.0,629.9999999995755,1949.7507096776812,57.03,0.0053333333333328,-1.111111111087243e-05,2700.0000000002665,120.24929032300952,56.16,0.0096666666666657,0.0002999999999999,3179.9999999997176,600.2492903224606,54.0,141.888888888889,1.22276285123355,54.0,208502,1,1,659.298539219007,979.096946972022,1,18192000531,18192000530641,0.0016420997686786801,38.858,165.59981283161682,1.2046592,8.350909371946559,0.7221959397210286,4.536552655833794,0.004089430894308776,0.0003222222222221921,10.059999999999995,0.8700000000000045,5.465,0.0022058265582654843,2550.000000000142,2.4903668901916642,0.19622572779574107,1.3432963089937027,6.093934438137114
50.89,0.0003333333333333,-1.1111111111121173e-05,1650.000000000017,6.887096774210477,51.67,0.0,-0.0003000000000001,1439.999999999916,203.11290322589048,51.0,0.0026666666666671,-3.333333333334799e-05,780.0000000000393,863.1129032257672,52.33,0.0283333333333389,0.0007333333333336,1769.9999999999484,126.8870967741418,50.99,0.0020000000000002,-0.0001333333333333,2070.0000000000314,426.8870967742248,63.0,2.22222222222222,1.01321924294854,63.0,207703,1,1,666.527989361456,1088.33548533372,1,18192000531,18192000530601,0.0016420997686786801,38.858,165.59981283161682,1.0674201,0.6276816262905038,1.255363252581001,0.9415224394357524,0.0004652777777778061,0.0007570621468926754,0.6700000000000017,1.3399999999999963,1.004999999999999,0.0006111699623352407,1289.999999999992,0.2833431845326871,0.4610329782226615,0.3721880813776743,0.35042343030762024
51.57,0.0173333333333821,0.000577777777781,1410.0000000000184,12.911612903270225,51.67,0.0,-0.0001111111111117,1469.9999999998497,72.91161290310151,49.19,0.0003333333333344,-7.777777777820878e-05,2159.9999999999004,762.9116129031522,51.21,0.0083333333332932,-0.0001444444444462,1320.000000000092,77.0883870966561,49.84,0.0016666666666714,4.4444444444701335e-05,1109.999999999866,287.0883870968821,48.0,151.959183673469,1.01321924294854,48.0,207522,1,1,668.474379784422,1088.33548533372,1,18192000531,18192000530591,0.0016420997686786801,38.858,165.59981283161682,1.2899281,1.9225878101612857,1.0620747177100613,1.4923312639356734,0.001687074829932148,0.0010378787878787136,2.480000000000004,1.3699999999999974,1.9250000000000007,0.0013624768089054308,1050.0000000000343,1.0273887507393398,0.6320436843577693,0.8297162175485545,1.2382114516421605
49.74,0.0030000000000106,-9.999999999992796e-05,1799.9999999998934,9.97083870953179,49.83,0.0059999999999977,0.0001444444444441,1770.000000000001,20.029161290360666,49.2,0.0003333333333331,-3.333333333348551e-05,1499.9999999999122,290.02916129044934,49.75,0.0023333333333237,1.1111111110769024e-05,1860.000000000028,69.9708387096664,48.44,0.0,-2.222222222212565e-05,2190.0000000000214,399.9708387096598,63.0,124.775510204082,1.19442761861068,63.0,206918,1,1,673.757439503904,1185.91130383729,1,18192000531,18192000530561,0.0016420997686786801,38.858,165.59981283161682,1.0674201,0.5902080963627068,1.2272581051351632,0.908733100748935,0.00035593220338982776,0.0007043010752688078,0.6299999999999955,1.3100000000000023,0.9699999999999989,0.0005301166393293177,690.0000000001091,0.21675431065691553,0.4289027309440069,0.3228285208004612,0.29336496271719514
49.56,0.0016666666666464,-5.55555555565259e-05,2160.00000000018,7.175612903459296,49.59,0.0003333333333291,-0.0003333333333324,2040.0000000001448,112.82438709657596,49.12,0.0009999999999935,3.333333333290258e-05,1860.000000000006,292.8243870967149,49.64,0.000333333333331,-8.888888888925886e-05,2220.000000000112,67.17561290339108,47.65,0.0006666666666583,-4.661997061485878e-16,3030.000000000166,877.1756129034452,71.0,93.2222222222222,1.19442761861068,71.0,206702,1,1,675.425774152162,1185.91130383729,1,18192000531,18192000530551,0.0016420997686786801,38.858,165.59981283161682,1.2003138,0.3915642704779351,1.6578997835129397,1.0247320269954374,0.00023039215686273168,0.0008963963963963521,0.47000000000000597,1.990000000000002,1.230000000000004,0.0005633942766295419,1170.00000000016,0.140303385492903,0.545884247409425,0.343093816451164,0.35157922198160185
48.43,0.0093333333333241,0.0003111111111104,1889.999999999924,12.693548387029068,48.49,0.0019999999999981,-0.0002444444444439,1919.9999999999527,42.69354838705772,46.98,0.0013333333333322,3.333333333326992e-05,2309.999999999983,432.6935483870882,48.45,0.0029999999999971,9.999999999980824e-05,1800.0000000000105,77.30645161288453,48.17,0.0019999999999978,2.222222222216645e-05,1620.000000000009,257.3064516128859,63.0,105.84,1.02229997621514,63.0,205911,1,1,681.543001195772,751.999643388393,1,18192000531,18192000530511,0.0016420997686786801,38.858,165.59981283161682,1.0674201,1.4146257547741217,0.26231470949453933,0.8384702321343305,0.0007864583333333554,0.0001555555555555553,1.5100000000000051,0.28000000000000114,0.8950000000000031,0.0004710069444444553,689.9999999999741,0.47893456191530986,0.09472966169450439,0.28683211180490714,0.24050018736864073
