channel_elevation,channel_slope,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id
507.5,-0.10766703288095883,-0.003300035264976361,1409.9999999997747,12.072580645563221,512.6199951171875,0.1706665039051117,0.005688883463465781,1470.0000000010132,47.92741935567528,509.5,-0.009333292643213038,-0.0005000135633700557,2520.000000000314,1097.9274193549759,,,,,,,,,,,63.0,275.04,1.04784436136125,63.0,2440149.71232759,1,1,2834.4473909275,5370.27074599236,1,61569000291,61569000290551
484.5,0.0,0.0,6960.000000000042,12.581502540529982,488.489990234375,0.003999837239646268,-0.0002222357855905017,7319.999999999462,347.41849745888976,487.1499938964844,0.0009999593099020176,0.00015557183159891675,7679.999999999679,707.4184974591071,,,,,,,,,,,333.0,140.25,1.05611703185672,1739.0,2437138.04397039,2,2,2853.23648955712,1500.6237920871,1,61569000291,61569000290401
477.0,-0.016666666666638876,-0.0005555555555537029,5490.00000000016,7.931191467150711,480.1199951171875,0.0033335367838469914,5.557590060704941e-05,5220.000000000231,277.93119146707977,478.5199890136719,-0.3656667073579903,-0.011711086697128184,4740.000000000032,757.931191467279,481.92999267578125,0.0026662190755193786,8.887396918393078e-05,6480.000000000088,982.0688085327774,479.8800048828125,0.0003336588541638951,0.00010002983940919513,6900.000000000298,1402.0688085329875,270.0,0.0,1.0324732940825,1739.0,2436148.33216264,2,2,2859.90358907086,991.317377359626,1,61569000291,61569000290351
470.0,0.0,0.0,4769.999999999961,9.0,472.80999755859375,0.0009999593099052008,-5.554199218707219e-05,4289.999999999869,489.00000000009186,471.55999755859375,-0.0029998779296734036,-5.5541992186611444e-05,3899.999999999967,878.9999999999941,,,,,,,,,,,210.0,1448.48979591837,1.04903544254478,1739.0,2435153.85112619,2,2,2866.1666219474,2760.00349176791,1,61569000291,61569000290301
462.5,0.0,0.0021777682834882737,3449.9999999990405,12.459677419738455,464.4599914550781,0.0,-0.0003221978081461692,3389.999999999979,72.45967741879986,462.489990234375,-0.0006673177083481928,0.0056777615018747465,2729.999999998853,732.4596774199258,,,,,,,,,,,176.5,485.0,1.09075995108393,1739.0,2434151.85689025,2,2,2872.42965482394,1095.29573639487,1,61569000291,61569000290251
449.5,0.0,0.0,3900.0000000001673,12.489919355030906,452.7200012207031,0.024666341145905123,-7.778591579527128e-05,4080.0000000000236,192.4899193548872,451.45001220703125,0.00033365885416687907,4.445393880189236e-05,5220.000000000023,1332.4899193548863,,,,,,,,,,,183.0,737.472222222222,1.01852479097438,183.0,2432113.4837594,1,3,2885.35978721422,978.545133201054,1,61569000291,61569000290151
441.5,-0.027666219075840395,-0.0008888753255416923,3929.9999999998577,6.483870968189876,443.6700134277344,0.0009999593098940448,-0.00015557183159734434,4110.000000000419,173.51612903237174,439.92999267578125,-0.006667073567696408,-0.0002888997395829001,4920.000000000874,983.5161290328265,,,,,,,,,,,156.5,186.472222222222,1.04720859141242,156.5,2431119.37262129,1,1,2891.42078677217,2263.96757095635,1,61569000291,61569000290101
436.5,0.0,0.0,3720.0000000000114,5.758064516158811,442.3999938964844,0.026666259765525564,0.0007333034939185667,4230.000000000032,515.7580645161793,439.5899963378906,-0.00266723632812314,-5.5575900607396665e-05,4829.999999999956,1115.7580645161038,,,,,,,,,,,162.0,377.428571428571,1.02074193778171,162.0,2430127.80688962,1,2,2897.8858529673,720.100963683115,1,61569000291,61569000290051
425.5,0.0,0.0,3420.000000000055,9.042338709671185,429.0899963378906,0.002999877929718649,9.999593099165994e-05,2940.0000000000528,470.9576612903311,428.82000732421875,-0.0003326416015601604,0.0001000298394089417,2700.000000000376,710.9576612900078,428.7200012207031,-0.017332967122608386,-0.001399976942302048,3809.9999999997563,399.0423387093724,427.0,-0.0009999593098963184,3.333197699605891e-05,4950.000000000168,1539.0423387097844,161.5,351.0,1.01870620077448,1205.0,2427704.70003628,3,3,2905.96718571123,1516.51719640279,1,61569000281,61569000280811
418.5,0.016666666666235667,0.003955552842821567,5910.000000000354,13.2580645159087,421.1000061035156,-0.0043334960937216225,-0.00021111382378090032,6480.000000000147,556.7419354838848,416.6300048828125,-0.0019999186197400096,-0.00037777370876210644,8310.000000000187,2386.741935483925,,,,,,,,,,,291.5,1170.66666666667,1.03031696573303,1205.0,2426700.62509784,3,4,2912.43225190637,958.2738281559,1,61569000281,61569000280761
405.5,0.0,0.0,6359.999999999969,3.5080645160924178,410.3399963378906,0.003333536783848608,-6.66639539923805e-05,6600.000000000234,243.50806451635708,408.5799865722656,0.0013326009114714228,5.550808376831711e-05,8519.999999999878,2163.5080645160015,411.4200134277344,-0.0013326009114790584,-8.88400607659439e-05,5099.999999999701,1256.4919354841759,408.8599853515625,-0.0010009765625015325,0.0008888414171069527,4110.000000000047,2246.4919354838294,281.0,2560.55555555556,1.0111538400001,1205.0,2424721.32806568,2,3,2924.75628434085,674.029286292089,1,61569000281,61569000280661
401.0,0.0,0.0018111165364480934,3060.000000000451,6.913306451363496,407.4700012207031,0.0,0.0,2070.000000000519,996.9133064512957,399.8299865722656,0.0,0.00022223578559029124,1020.0000000003031,2046.9133064515115,,,,,,,,,,,130.5,309.666666666667,1.01237816903725,1205.0,2423705.28015734,2,2,2931.42338385459,1862.00829127449,1,61569000281,61569000280611
394.5,0.0,0.0,3089.9999999998595,3.2842741936156017,398.4800109863281,-0.0006663004557265205,-0.00014441596137126987,2820.0000000000496,273.2842741934255,394.2699890136719,-0.0009999593098937568,-4.442003038181962e-05,1500.0000000000257,1593.2842741934494,,,,,,,,,,,157.0,219.959183673469,1.01438025972149,157.0,2422723.55838497,1,1,2938.09048336833,1275.97456321018,1,61569000281,61569000280561
388.8399963378906,0.044666544595865325,0.002044440375388335,6450.000000000171,13.711693548997573,389.9100036621094,-0.001666259765606764,-0.0001666598849788023,6930.000000000208,493.71169354903486,388.04998779296875,0.003332519531236361,0.00032219780815492165,7589.999999999829,1153.7116935486556,,,,,,,,,,,300.0,1348.25,1.04443408125087,300.0,2421721.39906479,1,1,2944.35351624487,1838.12188128384,1,61569000281,61569000280511
383.5,0.0,0.0,7049.999999999981,13.741935483810266,386.2200012207031,-0.019332885742186327,-0.0017332967122372603,6180.000000000106,856.2580645160642,382.3500061035156,-0.0006663004557317119,7.778591579881734e-05,5249.999999999881,1786.2580645162898,387.489990234375,0.004999796549469163,0.000577765570745811,7709.999999999963,673.7419354837921,386.8900146484375,-0.002999877929699414,-9.99959309903776e-05,8159.999999999806,1123.7419354836356,329.0,13266.7755102041,1.02466215946449,329.0,2420717.01428782,1,3,2950.81858244001,1193.33003834384,1,61569000281,61569000280461
379.0899963378906,0.05299987792986585,0.00176666259766814,6119.9999999998745,3.8528225805312104,379.5799865722656,-0.003333536783871751,0.00011111789279445169,5429.999999999935,686.1471774194079,378.25,0.0009999593098953482,1.1121961805560252e-05,4380.000000000036,1736.147177419307,,,,,,,,,,,280.0,771.34693877551,1.00476821127161,1205.0,2419728.12673163,3,4,2957.28364863515,817.752307728574,1,61569000281,61569000280411
372.0,0.0,0.0,6929.999999999874,1.4879032258677398,374.4800109863281,0.0006673177083305415,3.390841980328933e-08,5969.99999999978,958.5120967742259,372.989990234375,-0.004333496093748292,-0.0001444498697915528,5009.999999999968,1918.5120967740377,,,,,,,,,,,320.0,3545.95918367347,1.036853188017,1205.0,2418724.0628756,3,4,2963.95074814889,1712.33819197085,1,61569000281,61569000280361
368.489990234375,0.0,-0.006099989149315357,5639.999999999991,11.66129032246954,368.2799987792969,-0.002666219075515256,-0.00011108398437472715,5490.0000000000255,138.3387096774959,365.8900146484375,0.0016672770182403374,3.3365885417332595e-05,4439.999999999924,1188.3387096775978,,,,,,,,,,,286.5,346.916666666667,1.03434952622458,1205.0,2417705.00756714,3,3,2970.01174770683,2161.87767495315,1,61569000281,61569000280311
358.0,0.0,0.0067333306205652095,4979.999999999619,13.185483870529424,363.8999938964844,0.19666646321830417,0.0065555487740154164,5039.999999999556,73.18548387046667,355.42999267578125,-0.00866699218756306,-0.0004444715711820241,10889.99999999984,5923.18548387075,,,,,,,,,,,285.5,1656.91666666667,1.02326084847328,1205.0,2416718.13508222,3,3,2976.47681390197,2691.88499136671,1,61569000281,61569000280261
358.7799987792969,0.03399963378926865,0.0011333211263158268,4889.9999999998845,5.739919355013626,359.760009765625,-0.0016662597656223227,-0.00015553792317622882,4650.000000000115,245.73991935478352,356.7099914550781,-0.007000732421831067,-0.00026668972438958024,3780.000000000019,1115.739919354879,,,,,,,,,,,265.0,1236.5306122449,1.05022758767147,1205.0,2415729.41914687,4,4,2982.33578014132,1694.46704080429,1,61569000281,61569000280211
