channel_elevation,channel_slope,channel_curvature,channel_along_track_distance,channel_dist_to_river_center,ridge1_elevation,ridge1_slope,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id
149.0,0.0,0.002322218153157834,840.0000000001061,12.229838709182445,152.75999450683594,0.020666503906320407,0.0006888834635463604,929.9999999994376,102.22983870851397,151.32000732421875,-0.014999898274723554,-0.0002555508083798749,1140.0000000003886,312.22983870946496,151.2899932861328,0.0069997151693790855,0.00023332383898291126,689.9999999994003,137.77016129152332,151.0800018310547,-0.005999755859314317,0.0006333414713388444,630.000000000057,197.77016129086667,42.0,0.0,1.13096981089226,42.0,341806.013808024,1,1,2355.18575140928,1187.09690935822,1,61302000331,61302000330681
148.0,0.0,0.002511105007637956,599.9999999991705,9.290322579751773,150.47000122070312,0.0823333740205636,0.0027444458005896565,630.0000000002177,39.29032258079894,150.19000244140625,-0.009333292643347865,-0.0003111097547822188,690.000000000233,99.29032258081418,,,,,,,,,,,33.0,29.0,1.14869527823414,33.0,341633.001098638,1,1,2357.54213997238,1288.21916292492,1,61302000331,61302000330671
147.5,-0.41033325196838405,-0.013933325874501612,839.9999999999349,13.596774193715078,151.49000549316406,-0.0033330281576774558,-0.0008110894097619958,1080.0000000001737,226.40322580652378,151.25,0.0009999593099031014,0.0005777825249812834,1259.9999999998993,406.40322580624934,,,,,,,,,,,60.0,163.138888888889,1.14869527823414,60.0,341405.346666751,1,1,2359.89852853549,1288.21916292492,1,61302000331,61302000330661
146.5,0.0,0.010133327908237328,930.0000000006098,3.677419354700305,151.82000732421875,0.01566670735742616,0.00018888685442033798,1139.9999999996612,206.3225806443511,150.85000610351562,-0.001999918619818935,0.00012222290039905017,1349.9999999996694,416.3225806443593,,,,,,,,,,,67.0,150.888888888889,1.14869527823414,67.0,341221.253292654,1,1,2362.25491709859,1288.21916292492,1,61302000331,61302000330651
146.0,0.0,0.004433339436742713,1380.0000000005998,8.945564516092418,150.97999572753906,0.03633321126091037,0.0008111063638007435,1680.0000000023015,308.9455645177941,150.02999877929688,0.0029998779296038073,5.554199218435239e-05,1950.0000000013551,578.9455645168478,152.1199951171875,0.043666585287900635,0.0014777798123792778,1200.0000000003688,171.0544354841386,150.64999389648438,-0.005000305175647205,0.0003555467393785053,1080.000000000775,291.0544354837325,92.0,463.673469387755,1.04115417723386,92.0,340829.888596834,1,1,2367.36042565199,1441.56715604331,1,61302000331,61302000330631
145.5,0.0,0.0039777798122153036,1350.0000000009236,2.9395161281054243,148.32000732421875,-0.0033330281578356933,-0.0003777737087904825,1530.000000000547,177.06048387151804,148.0,0.002999877929564314,0.00016665988497120704,1860.0000000014848,507.06048387245573,,,,,,,,,,,87.0,102.805555555556,1.04115417723386,87.0,340610.579084859,1,1,2369.71681421509,1441.56715604331,1,61302000331,61302000330621
145.0,0.0,0.0,1079.9999999989582,2.2137096783942525,147.4600067138672,0.0,-0.00273334079310178,1199.9999999998429,117.78629032249046,146.66000366210938,-0.003999837239473835,7.778591580038121e-05,1500.000000000276,417.7862903229236,,,,,,,,,,,67.0,178.816326530612,1.04530480959421,67.0,340425.891588475,1,1,2372.46593420538,1538.53102752261,1,61302000331,61302000330611
134.0,0.0,0.0,930.0000000001297,1.118951613135664,138.22000122070312,-0.004999796549541559,-0.00046664767795557226,809.999999999264,121.11895161400139,137.9199981689453,-0.20766652425446647,-0.006944427490446041,689.9999999993101,241.11895161395523,,,,,,,,,,,55.5,109.805555555556,1.05218216107693,55.5,338423.34445501,1,1,2396.02981983644,752.413070926609,1,61302000331,61302000330511
133.5,-0.11866658528653704,-0.003755544026698913,689.9999999991359,4.4516129038364625,137.27999877929688,0.0,-0.0007666693793116109,599.9999999998474,94.4516129031249,136.52999877929688,-0.04066670735801311,0.003633338080568093,509.9999999986029,184.45161290436943,,,,,,,,,,,48.0,160.96,1.08868933318871,48.0,338216.304946668,1,1,2397.99347697236,1080.21597692151,1,61302000331,61302000330501
132.5,0.0,0.007411109076388512,450.00000000059805,4.294354838202878,139.5500030517578,0.0,-0.0005555555555584577,359.999999999607,94.29435483919394,138.5,-0.003999837239463978,0.0002444627549897851,150.00000000157638,304.29435483722455,,,,,,,,,,,30.0,77.0,1.05567977386447,30.0,337826.657849812,1,1,2403.09898552575,1413.08223825706,1,61302000331,61302000330481
