channel_elevation,channel_slope_r,channel_slope,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope_r,ridge1_slope,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope_r,floodplain1_slope,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope_r,ridge2_slope,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope_r,floodplain2_slope,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id
906.5,0.24399999999827812,,0.001355555555347522,2639.999999998868,4.892976481974074,917.62,0.09099999999935643,,0.0021555555555005895,2759.9999999988545,124.89297648196043,914.1,0.008380952380961367,,-0.00019671201813924776,3179.999999998402,544.892976481508,,,,,,,,,,,,,67.0,56.1388888888889,1.02465304971644,67.0,2540040,1,1,2617.86767339032,1455.43163860482,1,61569000431,61569000430531
500.8,0.007333333333327013,,0.00019999999999947016,32339.99999999997,6.4567041109039565,505.67,0.039333333333304944,,0.0013111111111092108,31800.000000000087,546.4567041107875,497.93,0.000333333333334162,,8.156028368849641e-06,28409.99999999995,3936.456704110926,503.46,0.06033333333329683,,0.001077777777776841,32580.00000000002,233.54329588914334,502.95,0.0076666666666598,,0.00024713804713763786,33629.99999999999,1283.5432958891179,261.0,625.0,1.04784436136126,1739.0,2502838,2,2,2844.3470235388,5370.27074599236,1,61569000401,61569000400471
481.32,0.060666666666725294,,0.0020222222222261383,25979.99999999957,0.7419354835255945,481.86,0.06200000000004557,,0.002066666666669689,26069.99999999955,90.74193548350377,479.5,0.10149999999999343,,0.0016916666666664546,23339.999999999683,2639.2580645163616,483.98,0.030000000000028344,,0.0009488888888907552,29759.99999999969,3780.7419354836456,481.5,6.896551724137674e-05,,-1.453296340335168e-06,31379.999999999785,5400.74193548374,232.5,146.138888888889,1.00687371142743,1739.0,2500830,2,2,2857.27715592908,1155.26925977956,1,61569000401,61569000400371
466.29,8.25396825396956e-05,,-1.8785588309287166e-06,26580.000000000706,388.4424516124418,480.14,0.024666666666738758,,0.00012222222222150572,22230.00000000032,4738.442451612827,470.41,0.012666666666595832,,0.0001666666666625955,6390.000000000406,20578.44245161274,,,,,,,,,,,,,306.0,443.222222222222,1.04903544254478,1739.0,2498828,2,2,2870.20728831936,2760.00349176791,1,61569000401,61569000400271
451.5,0.0,,-0.0009888888888853961,22619.99999999897,9.88561295224281,451.5,0.0,,-0.0011333333333293275,22709.999999998967,99.88561295223917,450.37,0.006166666666656273,,8.611111111074824e-05,26669.99999999933,4059.885612952603,,,,,,,,,,,,,214.5,851.138888888889,1.02438037464267,1739.0,2496841,3,3,2882.73335407245,1186.25448806598,1,61569000401,61569000400171
439.89,0.04633333333338344,,0.0015444444444478005,17040.000000000426,62.036903225551214,442.12,8.974358974358183e-05,,-1.5231207538902048e-06,20880.00000000029,3777.963096774314,440.03,0.0009999999999982417,,1.212860830286088e-17,23670.000000000266,6567.963096774289,,,,,,,,,,,,,144.5,256.805555555556,1.04720859141244,1739.0,2494821,2,2,2895.25941982553,2263.96757095633,1,61569000401,61569000400071
419.5,0.0,,-0.0035666666666752944,52379.99999999921,10.57612903315021,423.4,0.00015873015873017833,,-3.451751070806023e-06,53489.99999999924,1099.4238709668862,421.48,0.0001666666666665752,,-1.611111111095718e-05,63659.99999999978,11269.423870967425,,,,,,,,,,,,,406.0,1350.47222222222,1.03796948667867,1205.0,2492439,3,5,2911.01801867618,1100.45838856224,1,61569000391,61569000390771
410.22,0.0003333333333353696,,-0.0029999999999998947,24630.0,9.923654004702257,410.78,0.0010000000000005003,,-6.666666666645647e-05,23580.000000000065,1040.0763459952323,410.19,0.00011904761904764096,,-4.223356009062549e-06,18810.00000000005,5810.076345995247,413.42,0.011333333333341265,,0.00024444444444491665,30030.000000000007,5409.9236540047095,412.86,6.172839506174021e-05,,-1.2955342173555474e-07,40740.00000000001,16119.92365400471,244.0,374.888888888889,1.02170891107394,1205.0,2490417,3,4,2923.54408442927,1301.2959593645,1,61569000391,61569000390671
395.5,0.0,,-6.816059757236599e-07,13170.00000000055,76.2743225801969,399.91,0.0033333333333299734,,0.000111111111110925,9180.000000000711,4066.274322580035,394.24,2.083333333331413e-05,,-3.5342261904772196e-07,4380.000000000194,8866.274322580553,,,,,,,,,,,,,144.5,183.583333333333,1.00157472871236,144.5,2488421,1,1,2936.67625013814,1037.47346244684,1,61569000391,61569000390571
383.56,4.8780487804881196e-05,,9.44260313683611e-10,26579.9999999997,322.00412903210963,395.95,0.0023750000000002597,,-2.4801587302227516e-08,21659.999999999854,4597.995870967738,385.98,2.262443438913694e-05,,5.4979081782604184e-05,6629.999999999971,19627.99587096762,,,,,,,,,,,,,326.5,559.472222222222,1.04051406926395,1205.0,2486414,4,4,2949.40434920982,1769.91101361432,1,61569000391,61569000390471
373.11,0.0010000000000001364,,-8.888888888916493e-05,20580.000000000186,12.608903225667746,377.83,7.017543859643278e-05,,6.463527239129234e-08,44730.00000000005,24137.391096774198,376.99,0.00033333333333335354,,-1.6666666666666918e-05,45720.00000000007,25127.39109677422,379.59,0.007666666666672816,,-3.3333333332870353e-05,14580.000000000067,6012.608903225786,379.69,2.9761904761912463e-05,,-1.1455971277394757e-07,12060.000000000084,8532.60890322577,301.5,688.472222222222,1.03685318801702,1205.0,2484416,3,3,2962.5365149187,1712.33819197085,1,61569000391,61569000390371
