channel_elevation,channel_slope_r,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope_r,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope_r,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope_r,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope_r,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id,slope,discharge_uncorrected,corrected_discharge,XGB_depth,ridge1_slope,ridge2_slope,ridge1_height,ridge2_height,ridge_height_mean,ridge_slope_mean,ridge_width,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda
478.45,0.0046666666667117,0.000100000000003,10319.999999999936,11.528822909331211,490.08,0.0216666666665989,0.0004999999999956,11129.999999999996,821.5288229093912,484.2,0.0069999999999776,-6.666666666800315e-05,12270.00000000003,1961.528822909424,483.57,0.0,-0.0001111111111124,9899.99999999986,408.4711770907452,480.91,0.0006666666666697,-0.000133333333333,9509.999999999876,798.4711770907288,93.0,176.805555555556,1.30140132801005,93.0,4474655,1,1,1888.41757531035,2496.59535871826,1,62269800631,62269800630471,0.00241927358120114,9.104,34.22800523893744,0.24630381,0.0005283018867924526,0.00026868686868686926,5.8799999999999955,2.659999999999968,4.269999999999982,0.00039849437773966094,2760.000000000153,0.21837211421544028,0.11106096919946915,0.1647165417074547,47.21810808032755,20.78733562951654,34.002721854922044,14.189999999999998,0.4143763213530653,0.18745595489781314,0.3009161381254392,0.04956586561598511
479.08,0.0,-5.555555555516734e-05,10470.000000000193,11.631392632960342,487.01,0.0013333333333127,-0.0005222222222195,10800.000000000264,341.6313926330313,484.3,0.0296666666668856,0.0004333333333519,11279.999999999894,821.631392632662,483.39,0.0126666666667594,0.0001444444444526,10050.000000000124,408.3686073671088,480.85,0.0016666666666844,3.333333333474878e-05,9719.999999999922,738.3686073673107,96.0,206.0,1.30140132801005,96.0,4474463,1,1,1890.67476960631,2496.59535871826,1,62269800631,62269800630461,0.00241927358120114,9.104,34.22800523893744,0.42949548,0.0002509259259259179,0.0002527363184079535,2.7099999999999795,2.5399999999999636,2.6249999999999716,0.0002518311221669357,1559.9999999999727,0.1037195329522576,0.10446785364492467,0.10409369329859114,18.46352360413858,10.035029852942907,14.249276728540742,10.085000000000008,0.26871591472483664,0.25185919682696695,0.2602875557759018,0.027094293000376656
476.5,0.0,-0.0034888888889254,10080.000000000102,13.84699876509876,483.74,0.0116666666667291,-0.0002888888888917,9569.999999999936,523.8469987652643,483.32,0.0003333333333346,-0.000100000000001,9449.999999999633,643.8469987655681,486.15,0.0320000000001584,0.0008555555555704,10410.000000000262,316.1530012350613,485.99,0.0010000000000064,1.1111111111234402e-05,10529.999999999636,436.1530012344356,92.0,236.222222222222,1.30140132801005,92.0,4474234,1,1,1892.60950757427,2496.59535871826,1,62269800631,62269800630451,0.00241927358120114,9.104,34.22800523893744,0.24630381,4.388714733542515e-05,1.5369836695481665e-05,0.4200000000000159,0.15999999999996817,0.28999999999999204,2.962849201545341e-05,1080.0000000000036,0.0181406301777725,0.006353079211426236,0.012246854694599367,29.394591788613244,39.17925562985039,34.286923709231814,12.064999999999998,0.03481143804393005,0.013261500207208305,0.024036469125569178,0.00029437114475206963
478.46,0.0020000000000155,4.444444444577702e-05,6690.000000000059,12.480258585901538,487.92,0.0100000000000779,-8.888888889042927e-05,7319.9999999997235,617.5197414137629,487.84,0.0033333333333581,8.888888889025094e-05,7679.999999999663,977.519741413702,483.99,0.0463333333322555,0.0013777777777084,6540.000000000317,162.48025858564324,482.78,0.0006666666666733,-0.0001111111111128,6239.999999999895,462.4802585860653,61.5,28.25,1.30140132801005,61.5,4473834,1,1,1896.8014398382,2496.59535871826,1,62269800631,62269800630431,0.00241927358120114,9.104,34.22800523893744,0.47985634,1.0928961748639884e-05,0.00018501529051987426,0.08000000000004093,1.2100000000000364,0.6450000000000387,9.797212613425707e-05,1439.9999999997674,0.0045174559146856745,0.07647555528962392,0.0404965056021548,19.71423355383518,11.524282405148911,15.619257979492044,12.225000000000051,0.0065439672801669195,0.098977505112477,0.052760736196321954,0.0021366254489481634
468.5,0.1159999999994801,0.0038222222221866,18209.99999999978,6.582074722897232,472.02,0.0023333333333229,5.555555555504152e-05,18150.00000000041,66.58207472226786,471.67,0.0016666666666595,1.1111111111039027e-05,17940.0000000003,276.58207472238064,480.89,0.0329999999998242,-0.0004888888888836,18330.0000000004,113.41792527772122,478.55,0.0010000000000247,-0.0002444444444484,18539.999999999585,323.4179252769063,179.0,539.918367346939,1.10063764023016,351.0,4471665,2,2,1920.0182954538,3974.84638930344,1,62269800631,62269800630321,0.00241927358120114,9.104,34.22800523893744,0.6716409,1.9283746556471514e-05,0.00012765957446808095,0.3499999999999659,2.339999999999975,1.3449999999999704,7.347166051227624e-05,599.999999999287,0.007970882956898726,0.05276772972682962,0.03036930634186417,5.240896052843605,18.447358549639926,11.844127301241766,9.714999999999975,0.03602676273803055,0.24086464230571086,0.13844570252187072,0.004204499951601289
466.0,0.0,-0.0030444444444141,10979.999999999818,0.6314885214524111,475.06,0.0023333333333216,2.22222222217412e-05,10410.00000000016,569.3685114782056,474.98,0.000999999999994,-5.5555555555014406e-05,10200.000000000013,779.368511478353,477.35,0.0359999999998201,0.0008666666666579,11309.999999999938,330.63148852157246,476.08,0.0063333333333017,0.000211111111109,11670.000000000073,690.6314885217071,108.0,476.64,1.10063764023016,108.0,4470638,1,1,1930.01444162163,3974.84638930344,1,62269800631,62269800630271,0.00241927358120114,9.104,34.22800523893744,0.37257236,7.684918347740909e-06,0.000112290008841737,0.07999999999998408,1.2700000000000387,0.6750000000000114,5.998746359473896e-05,1470.00000000006,0.0031765396057131493,0.04641476256107686,0.024795651083395005,24.317423710873957,30.46388069739734,27.390652204135648,14.735000000000014,0.005429250084830947,0.08618934509671106,0.045809297590771,0.0011358713594361652
465.0,0.0,0.0,13289.999999999958,2.0963705142221443,472.05,0.0316666666661306,0.0004222222221967,12750.00000000026,537.9036294854759,472.04,0.0023333333333349,-4.444444444511141e-05,12570.000000000184,717.9036294855523,474.47,0.1073333333309523,0.0031333333331817,13410.000000000397,122.09637051466052,474.06,0.0033333333333541,-0.0005222222222106,13650.000000000267,362.0963705145314,129.0,209.142857142857,1.10063764023016,129.0,4470237,1,1,1933.88391755757,3974.84638930344,1,62269800631,62269800630251,0.00241927358120114,9.104,34.22800523893744,0.370888,7.843137254894667e-07,3.057419835943422e-05,0.009999999999990905,0.410000000000025,0.21000000000000796,1.5679256042461843e-05,1080.0000000000837,0.0003241938950534335,0.012637759779220381,0.006480976837136907,19.00843408113954,25.533314999771868,22.270874540455704,11.785000000000025,0.0008485362749249796,0.03478998727195792,0.017819261773441453,0.00011548622280855318
462.5,0.0166666666666307,0.0005555555555531,4710.00000000017,2.7646358711626817,465.7,0.0,-9.999999999960488e-05,4619.999999999976,87.23536412903104,465.89,0.0019999999999957,-7.777777777743538e-05,4500.000000000133,207.2353641288746,465.33,0.0099999999999788,-0.0024777777778059,4769.9999999998845,62.7646358708771,465.09,0.007999999999983,0.0002666666666655,4830.000000000014,122.76463587100623,42.0,56.0,1.0998756278324,42.0,4469644,1,1,1939.36567513347,2132.94881732648,1,62269800631,62269800630221,0.00241927358120114,9.104,34.22800523893744,0.90470904,-4.1125541125540844e-05,5.031446540880816e-05,-0.18999999999999773,0.2400000000000091,0.025000000000005684,4.594462141633657e-06,329.99999999988086,0.016999127938694104,0.020797344210995612,0.01889823607484486,3.5370487687879946,3.1280775048968765,3.3325631368424355,0.9047090411186218,-0.21001227064678543,0.2652786576591106,0.02763319350616257,0.0005222186143813302
462.5,0.0,0.0,4740.000000000195,9.856385032324395,471.21,0.0140000000001582,-0.00048888888888,5039.999999999745,309.8563850318751,470.5,0.0003333333333317,-0.0002222222222241,5429.999999999984,699.8563850321134,474.98,0.0076666666667526,0.0002555555555613,4109.999999999722,620.1436149681485,475.12,0.0173333333331674,0.000522222222211,3930.000000000058,800.143614967812,42.0,20.0,1.09949462163352,42.0,4469453,1,1,1941.30041310144,1212.000031338,1,62269800631,62269800630211,0.00241927358120114,9.104,34.22800523893744,0.90470904,0.00014087301587301893,-3.406326034063159e-05,0.7099999999999795,-0.13999999999998636,0.2849999999999966,5.3404877766193666e-05,1499.9999999999254,0.05822946894789682,0.014079953836274934,0.03615471139208588,9.627404617544835,13.794490198273248,11.710947407909043,14.949999999999989,0.04749163879598529,-0.009364548494982371,0.01906354515050146,0.0006892369730263786
463.0,0.0,-0.0005555555555525,5309.999999999784,8.168248307899376,474.84,0.0333333333336809,-0.0004777777777459,5580.000000000042,278.1682483081568,470.99,0.0,-2.222222222208142e-05,5819.9999999998245,518.1682483079394,474.04,0.0093333333334552,-0.0002111111111,4770.000000000057,531.8317516918278,473.44,0.0,-0.0004888888889004,4589.999999999566,711.8317516923189,48.0,143.472222222222,1.09949462163352,48.0,4469250,1,1,1943.23515106941,1212.000031338,1,62269800631,62269800630201,0.00241927358120114,9.104,34.22800523893744,0.727454,0.0006899641577060819,0.00012578616352201582,3.849999999999966,0.6000000000000227,2.2249999999999943,0.00040787516061404884,1230.0000000002583,0.2851947638611103,0.05199336052748715,0.16859406219429873,16.275943071875915,15.176217188641115,15.726080130258515,17.359999999999985,0.22177419354838532,0.03456221198156816,0.12816820276497673,0.02160839794828998
