channel_elevation,channel_slope_r,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope_r,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope_r,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope_r,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope_r,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id,slope,discharge_uncorrected,corrected_discharge,XGB_depth,superelevation1,superelevation2,superelevation_mean,ridge1_slope,ridge2_slope,ridge1_height,ridge2_height,ridge_height_mean,ridge_slope_mean,ridge_width,gamma1,gamma2,gamma_mean,lambda
14.5,0.0,0.0,2220.0000000000127,0.9167741935989396,24.81,0.0293333333332634,0.0006444444444413,2099.9999999999955,119.08322580641834,23.82,0.0020000000000041,-2.2222222223298894e-05,1889.9999999997624,329.0832258066514,29.88,0.0606666666667926,0.0008000000000087,2490.0000000001187,270.9167741937049,22.38,0.0043333333333423,-0.0001555555555548,4109.999999999764,1890.9167741933504,71.5,200.583333333333,1.01542683934095,71.5,171906,1,1,43533.4251265584,1415.25036192669,1,75140100341,75140100340501,0.000422149700677873,403.076,2102.3400363685623,6.220524,0.159150583838697,1.205686241202252,0.6824184125204745,0.0004714285714285717,0.003012048192770941,0.9899999999999984,7.5,4.244999999999999,0.0017417383820997564,2220.000000000002,1.1167331652055383,7.135023874076662,4.1258785196411,2.815575469625805
14.0,0.0,0.0,2490.0000000005657,14.848076853129896,26.04,0.0100000000000977,0.0002888888888945,2279.999999999945,224.84807685375063,25.18,0.0003333333333365,-2.222222222101465e-05,1830.000000000192,674.8480768535037,27.39,0.0003333333333202,1.1111111110235691e-05,2910.000000000613,405.1519231469174,27.15,0.0013333333333463,-5.5555555556641e-05,3120.00000000004,615.1519231463444,84.0,131.44,1.0291468418045,84.0,169524,1,1,43561.9934110126,4179.89137725567,1,75140100341,75140100340381,0.000422149700677873,403.076,2102.3400363685623,5.4716983,0.15717240888287146,0.04386206759522033,0.10051723823904589,0.0003771929824561492,8.247422680410703e-05,0.8599999999999994,0.240000000000002,0.5500000000000007,0.00022983360463012812,1289.9999999998481,0.8935052704063655,0.19536725164479055,0.5444362610255781,0.05472522935548341
14.0,0.0,0.0,2580.000000000206,7.387999999545627,26.37,0.0366666666674831,0.0011111111111605,2909.9999999994693,322.6119999997177,24.32,0.0,-8.888888889213018e-05,3209.9999999994006,622.611999999649,27.56,0.0056666666667929,-1.1111111100987237e-05,2159.99999999952,427.38800000023184,25.38,0.0010000000000223,-1.1111111109244436e-05,1049.9999999996326,1537.388000000119,87.0,0.0,1.0291468418045,87.0,168722,1,1,43571.9302056055,4179.89137725567,1,75140100341,75140100340341,0.000422149700677873,403.076,2102.3400363685623,6.0726137,0.3375811628782413,0.3589887488168613,0.3482849558475513,0.0007044673539520187,0.0010092592592594834,2.0500000000000007,2.1799999999999997,2.115,0.000856863306605751,2159.999999999768,1.6687619411332284,2.3907615181032953,2.029761729618262,0.7069354743811458
14.0,0.4029999999972632,0.0134333333331508,2850.000000000384,6.514193548733601,28.93,0.0056666666666964,-0.0001222222222197,2729.9999999999286,113.4858064517216,27.35,0.0016666666666754,5.5555555556139096e-05,2189.999999999964,653.4858064516861,25.99,0.0020000000000104,-0.0001222222222212,3180.000000000004,336.5141935483539,25.19,0.0,-1.1111111111095331e-05,3389.999999999892,546.5141935482416,94.0,56.530612244898,1.05418937326545,94.0,167946,1,1,43581.4529670902,2326.1783410993,1,75140100341,75140100340301,0.000422149700677873,403.076,2102.3400363685623,5.2123036,0.30312892524951723,0.15348300012633748,0.22830596268792736,0.0005787545787545933,0.00025157232704402395,1.5799999999999983,0.7999999999999972,1.1899999999999977,0.00041516345289930863,1199.9999999999277,1.3709700085662735,0.5959315537593844,0.983450781162829,0.22452767734957385
14.0,0.0,-0.0137666666667977,2879.9999999997126,6.360000000196578,27.7,0.0,-3.333333333364847e-05,3839.999999999709,953.6399999997998,26.51,0.001666666666649,5.555555555438074e-05,4260.000000000088,1373.640000000179,29.37,0.0056666666666936,2.2222222222437238e-05,2489.9999999996503,396.3600000002589,27.01,0.0006666666666596,-1.1111111111386043e-05,1980.00000000016,906.3599999997492,93.0,1.0,1.05418937326545,93.0,167124,1,1,43592.2178278991,2326.1783410993,1,75140100341,75140100340261,0.000422149700677873,403.076,2102.3400363685623,5.2123036,0.22830596268792736,0.45277485037269705,0.3405404065303122,0.00030989583333335623,0.0009477911646587674,1.1899999999999977,2.3599999999999994,1.7749999999999986,0.0006288434989960618,2279.999999999928,0.7340899042110808,2.2451541790432117,1.4896220416271462,0.507276495632222
13.5,0.0,0.0,1589.999999999704,8.596129031777764,24.75,0.0050000000000469,-1.111111110790353e-05,1769.9999999999204,188.59612903199425,23.0,0.021999999999784,0.0006222222222063,2040.0000000000464,458.5961290321202,26.34,0.0003333333333301,-0.0002111111111069,930.0000000004012,651.403870967525,25.28,0.0013333333333203,2.2222222221789478e-05,600.0000000002635,981.4038709676628,52.5,245.0,1.17876783090316,52.5,163144,1,1,43643.9719664033,19019.5497357148,1,75140100341,75140100340061,0.000422149700677873,403.076,2102.3400363685623,5.6838956,0.3078874291285238,0.18649181421499134,0.24718962167175756,0.0009887005649717958,0.001139784946236066,1.75,1.0599999999999987,1.4049999999999994,0.001064242755603931,1439.999999999783,2.342061508948545,2.699954410499024,2.5210079597237844,0.6231670037956117
12.0,0.0,-0.0126666666670361,1949.9999999992656,4.475612902365128,23.4,0.0073333333334197,0.0002444444444502,1890.0000000001407,55.52438709675971,19.5,0.058333333330643,0.0016222222220521,1500.0000000007024,445.5243870961981,22.72,0.0063333333330766,3.33333333213324e-05,2340.0000000004425,394.475612903542,20.5,0.0559999999977301,0.0017333333331858,2580.000000000417,634.4756129035165,67.0,23.4722222222222,1.00065408882885,67.0,153135,1,1,43771.0801305695,1518.93642115649,1,75140100331,75140100330071,5.30589311697935e-05,404.937,2112.8869106969187,5.8704424,0.664345161848429,0.37816570751372103,0.5212554346810749,0.002063492063491909,0.0009487179487177688,3.8999999999999986,2.219999999999999,3.0599999999999987,0.0015061050061048388,1079.9999999997146,38.8905697494837,17.88045721618069,28.385513482832195,14.79610316913921
12.0,0.0,0.0,1860.0000000002008,6.11290322583568,24.04,0.0099999999997949,0.0003333333333196,2010.000000000524,156.11290322615855,21.97,0.002666666666612,2.222222221899059e-05,3000.00000000028,1146.112903225915,23.42,0.0163333333329985,-0.0006666666666815,1560.0000000003258,293.88709677403926,19.5,0.0,0.0,1290.00000000002,563.8870967743451,63.0,61.25,1.17876783090316,63.0,152345,1,1,43780.6028920543,19019.5497357148,1,75140100331,75140100330031,5.30589311697935e-05,404.937,2112.8869106969187,5.748433,0.3600981274851025,0.6819249563969093,0.521011541941006,0.0010298507462683884,0.002512820512819989,2.0700000000000003,3.9200000000000017,2.995000000000001,0.0017713356295441887,1710.0000000002601,19.40956448920485,47.359048842856076,33.38430666603046,17.393609092699936
12.0,0.0,-0.0115555555553949,1799.9999999995578,13.63587096835522,22.4,0.009000000000496,1.8771963151622163e-14,1739.9999999991408,73.63587096877222,22.11,0.000333333333331,-2.222222222190891e-05,1410.0000000005546,403.6358709673584,21.86,0.001333333333324,-2.2222222221913195e-05,2250.000000000838,436.3641290329251,20.43,0.0,-8.888888888765538e-05,2670.000000000048,856.3641290321348,63.0,8.22222222222222,1.08565443087994,63.0,151116,1,1,43795.9221170515,4551.42265414997,1,75140100321,75140100320481,0.00021648081082357502,412.443,2155.4681022313143,5.748433,0.050448529937526285,0.2487634407264234,0.14960598533197483,0.0001666666666667485,0.0006355555555553186,0.28999999999999915,1.4299999999999997,0.8599999999999994,0.00040111111111103357,1259.9999999994932,0.7698911789580118,2.9358516957573495,1.8528714373576807,0.2772006570793683
12.0,0.0,0.0,4410.00000000076,2.2336774196910483,21.4,0.0600000000007403,0.0018777777778317,3990.000000000246,417.76632258082327,21.8,0.0006666666666748,-1.111111110929824e-05,3510.0000000004543,897.766322580615,24.01,0.0086666666667736,-0.0127666666669734,4620.000000000087,212.233677419018,20.76,0.0010000000000122,-1.1111111111358752e-05,5099.999999999881,692.2336774188116,151.0,213.555555555556,1.08565443087994,151.0,150317,1,1,43806.6869778604,4551.42265414997,1,75140100321,75140100320441,0.00021648081082357502,412.443,2155.4681022313143,3.4823105,-0.11486626369167141,0.9332883924948252,0.4092110644015769,-0.00010025062656641039,0.0007034632034631902,-0.40000000000000213,3.25,1.424999999999999,0.0003016062884483899,1589.9999999994266,0.4630924384707311,3.249540690405536,1.8563165644381336,0.759625277200007
