channel_elevation,channel_slope_r,channel_slope,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope_r,ridge1_slope,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope_r,floodplain1_slope,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope_r,ridge2_slope,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope_r,floodplain2_slope,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id
407.0,-0.27233333333741244,0.559630248028944,-0.008211111111379675,2489.999999999254,1.0496878251433372,415.95,0.051333333332764866,0.559630248028944,0.002150222222179883,2429.9999999993715,58.95031217473934,414.41,-0.01317333333334445,0.559630248028944,0.000510435555563879,2399.99999999904,88.95031217507085,,,,,,,,,,,,,87.0,61.25,1.35977464910055,87.0,982133,1,1,83676.5364624447,2283.72683088146,1,11493900601,11493900600431
398.5,0.0,0.663333108597602,9.235364396665466e-06,4559.99999999906,428.0927419354912,406.23,0.00027586206896555027,0.663333108597602,2.2327916501330486e-06,2730.000000000117,1401.9072580634515,405.99,-0.0016666666666500431,0.663333108597602,0.00025555555555008865,1860.000000000188,2271.90725806338,404.74,-0.02100000000041176,0.663333108597602,-0.000963218390837238,5519.999999998116,1388.092741934548,404.43,0.0006666666666588046,0.663333108597602,6.666666666518588e-05,5669.999999998769,1538.092741935201,97.5,44.1388888888889,1.04882389386678,97.5,965689,1,1,84939.4722796616,2423.74010537821,1,11493900591,11493900590591
404.61,0.23700000000288882,0.663333108597602,0.007900000000192572,4349.999999999986,2.316532257826111,397.5,-0.4539999999967244,0.663333108597602,-0.015405263157674357,4290.0000000002265,62.316532257586005,403.7,0.0,0.663333108597602,8.888888888852342e-06,3270.0000000001664,1082.316532257646,410.95,0.21566666666929407,0.663333108597602,0.006788888889060866,5100.00000000002,747.6834677422075,405.85,-0.020333333333641342,0.663333108597602,0.00134444444444004,5279.999999999973,927.6834677421602,111.0,224.805555555556,1.11971910936849,111.0,963717,1,1,85082.8733585089,2546.61180039775,1,11493900591,11493900590491
397.0,0.016666666666744986,0.663333108597602,0.0008282051282116351,5549.999999999309,2.104838709537944,404.59,0.0005714285714282555,0.663333108597602,2.721088435372327e-06,6719.9999999990905,1172.1048387093197,401.92,0.002000000000009413,0.663333108597602,2.425287979716564e-16,8249.99999999876,2702.1048387089886,414.37,0.00599999999998895,0.663333108597602,-0.000192592592592266,4409.99999999967,1137.895161290101,404.75,-0.001214285714285548,0.663333108597602,-1.3038548752775602e-06,3629.9999999994,1917.8951612903707,108.0,98.1388888888889,1.34053466250644,108.0,961680,1,1,85223.7586289555,1270.20277651805,1,11493900591,11493900590391
395.5,0.0,0.663333108597602,0.022688888889205314,6899.999999999323,404.7157258073048,402.71,0.0,0.663333108597602,8.888888889017397e-05,7829.9999999995425,525.2842741929144,401.31,0.0,0.663333108597602,1.5873015872724898e-06,8939.999999999965,1635.2842741933373,,,,,,,,,,,,,150.0,44.64,1.12698344106547,150.0,959682,1,1,85372.1913246045,2372.07557179816,1,11493900591,11493900590291
394.0,0.0,0.663333108597602,0.0,5549.999999998398,386.85483871015185,402.06,0.1343333333321279,0.663333108597602,0.0022388888888487074,6809.999999998498,873.1451612899482,400.08,0.0,0.663333108597602,-1.111111111090159e-05,7949.999999998372,2013.1451612898218,406.49,-0.011666666666725658,0.663333108597602,-0.0005666666666671957,4739.999999999368,1196.8548387091823,398.72,-0.00021052631578956905,0.663333108597602,-3.6934441366623886e-07,3869.9999999988777,2066.8548387096725,123.0,512.69387755102,1.15661865586692,123.0,955706,1,1,85676.604141105,1111.60772917765,1,11493900591,11493900590091
396.11,0.002999999999986418,0.600422912173463,0.00011111111111004464,5940.000000001724,7.058467740523156,411.23,-0.16066666666588222,0.600422912173463,-0.002766666666562046,5670.00000000123,277.0584677410179,408.87,0.0,0.600422912173463,1.0144927536180406e-05,4800.000000002191,1147.0584677400566,407.29,0.13816666666594865,0.600422912173463,0.0007027777777709875,6090.000000001595,142.9415322593477,397.06,-0.0036666666666492244,0.600422912173463,-0.00012222222222104426,7980.0000000014,2032.9415322591522,150.0,601.714285714286,1.14308280118408,150.0,949281,1,1,86187.3132464736,1121.12666754351,1,11493700581,11493700580751
389.5,0.0,0.600422912173463,0.0,3780.00000000026,388.8810483868401,396.9,4.761904761902488e-05,0.600422912173463,1.0430839002344387e-05,3209.999999999633,958.8810483874672,394.19,2.777777777775738e-05,0.600422912173463,1.3438786008636044e-05,1079.9999999998108,3088.8810483872894,,,,,,,,,,,,,101.0,94.8163265306123,1.40641990330108,101.0,947284,1,1,86338.2617505234,2770.18353342302,1,11493700581,11493700580651
388.5,0.0,0.600422912173463,0.00016286549707611038,5550.000000000408,358.6451612901883,398.76,0.17100000000010093,0.600422912173463,0.002850000000003367,6810.000000000401,901.3548387098044,393.33,-0.0016666666666615886,0.600422912173463,3.333333333342967e-05,10380.000000000622,4471.354838710025,413.33,0.020833333333345493,0.600422912173463,0.00034429824561443985,3930.000000000258,1978.6451612903388,411.04,0.01666666666667652,0.600422912173463,0.0010333333333345626,2250.0000000001446,3658.645161290452,123.0,1231.10204081633,1.43085526466234,123.0,945267,1,1,86496.7576797757,4099.28978127404,1,11493700581,11493700580551
387.5,0.0,0.600422912173463,0.0,5429.999999999409,5.715725806134287,397.63,0.0533333333345419,0.600422912173463,0.0013333333334063187,6209.999999998717,774.2842741931736,393.41,-0.007666666666613082,0.600422912173463,-0.00025555555555202623,6689.999999998894,1254.284274193351,411.65,0.11366666666602811,0.600422912173463,0.005833333333267899,4319.999999999031,1115.7157258065117,405.59,-0.009140350877181612,0.600422912173463,-0.00010843336411408247,4109.9999999986685,1325.7157258068746,134.0,378.285714285714,1.43085526466234,134.0,943266,1,1,86652.7378006272,4099.28978127404,1,11493700581,11493700580451
385.5,-0.0029615384615377964,0.600422912173463,-5.9335963182351954e-06,2939.9999999997262,281.11088709712476,395.62,-0.05666666666660229,0.600422912173463,-0.002255555555550431,2069.999999999942,1151.1108870969092,391.98,0.08999999999997499,0.600422912173463,-8.100803506206254e-05,0.0,3221.110887096851,396.45,0.003444444444442616,0.600422912173463,-4.753086419743165e-05,4080.000000000096,858.889112903245,392.69,0.003999999999995301,0.600422912173463,0.00015555555555516446,10410.000000000233,7188.889112903382,105.0,232.222222222222,1.16720668623851,105.0,941277,1,1,86793.6230710737,1517.66994299928,1,11493700581,11493700580351
385.5,-0.417666666670553,0.600422912173463,-0.013876719576978285,2069.9999999996376,0.9375000002451088,393.61,-0.06900000000064196,0.600422912173463,-0.0036666666666961716,2940.00000000011,869.0625000002274,393.41,-0.012333333333420952,0.600422912173463,-0.00041111111111701053,3059.999999999906,989.0625000000232,,,,,,,,,,,,,75.0,55.0612244897959,1.36719884491373,75.0,939268,1,1,86947.0873835244,990.650919370205,1,11493700581,11493700580251
383.5,0.0,0.600422912173463,0.0,8639.99999999881,1.1129032265089336,389.61,-0.008333333333336366,0.600422912173463,-0.0002777777777779799,8429.999999998887,211.11290322643254,384.5,0.0,0.600422912173463,8.401084010845328e-06,7559.999999998575,1081.1129032267445,388.29,0.026666666666676747,0.600422912173463,0.0005888888888893503,9359.999999998558,718.8870967732382,386.7,-0.00022222222222230848,0.600422912173463,1.1522633744866981e-05,10409.999999998803,1768.8870967734838,127.0,128.583333333333,1.23033855206518,127.0,937247,1,1,87093.0042707726,1739.13329706381,1,11493700581,11493700580151
383.5,0.0,0.600422912173463,1.1804062126642808e-05,11430.000000000038,517.500000000211,392.39,-0.051666666666607526,0.600422912173463,-0.000566666666665351,13829.999999999993,2917.5000000001655,390.71,-0.0003333333333345611,0.600422912173463,3.333333333316709e-05,17939.999999999796,7027.499999999969,393.6,0.03333333333329493,0.600422912173463,0.0016111111111073865,8670.000000000084,2242.4999999997435,388.85,0.0013333333333324794,0.600422912173463,-1.1111111111075402e-05,4289.9999999999,6622.499999999927,189.0,235.714285714286,2.69228306918485,189.0,935264,1,1,87254.0160084257,1099.22126808505,1,11493700581,11493700580051
381.5,0.0,0.540717424406074,0.0,7019.999999999066,329.0685483880761,388.55,0.009666666666746768,0.540717424406074,-0.007188888889007436,7799.999999999245,450.93145161210305,387.36,-0.002000000000016568,0.540717424406074,-5.555555556522233e-06,8550.0000000004,1200.931451613258,,,,,,,,,,,,,131.5,1024.47222222222,1.25968296956244,131.5,930834,1,1,87598.6817593395,1901.59705278066,1,11493700571,11493700570811
379.5,-0.23566666666469097,0.540717424406074,-0.007811111110980037,2100.000000000282,2.2076612897662926,386.61,0.00017460317460323704,0.540717424406074,-2.897455278381746e-06,2039.9999999998404,62.20766129020785,385.41,-0.0006666666666604745,0.540717424406074,-2.2222222221829624e-05,959.9999999998744,1142.2076612901737,388.02,0.28400000000569914,0.540717424406074,0.017322222222693983,2129.99999999968,27.792338709631622,386.33,-0.008000000000144489,0.540717424406074,-0.00023333333334253338,3059.9999999994257,957.7923387093774,75.0,131.04,2.07313723303732,75.0,926820,1,1,87913.1578094433,2220.81971454247,1,11493700571,11493700570611
378.5,0.0,0.540717424406074,4.275599128539591e-06,12869.999999999218,316.74193548394396,390.21,0.0003333333333339801,0.540717424406074,-0.00021111111111169202,8579.999999999103,3973.2580645161706,383.42,0.0,0.540717424406074,7.777777777799538e-05,3089.999999999864,9463.25806451541,388.8,0.0005444444444445711,0.540717424406074,3.0246913580260434e-07,18780.00000000003,6226.741935484755,386.02,0.00011111111111127728,0.540717424406074,-6.790123456829083e-06,22709.999999998527,10156.741935483253,208.5,212.222222222222,2.07313723303732,208.5,924848,1,1,88066.622121894,2220.81971454247,1,11493700571,11493700570511
377.5,0.0,0.540717424406074,0.00016825396825434656,6149.999999999659,465.2177419349846,386.59,-0.045333333332731825,0.540717424406074,-0.004611111110988627,8430.000000000116,1814.782258065473,384.61,-3.5087719298263975e-05,0.540717424406074,9.879963065749702e-06,9359.999999998494,2744.7822580638503,,,,,,,,,,,,,135.0,91.5555555555556,1.09151098692435,135.0,922816,1,1,88222.6022427455,4490.43982605969,1,11493700571,11493700570411
376.5,0.0,0.540717424406074,0.00030844444444228577,7050.00000000038,338.34677419395666,384.17,-0.023666666666415582,0.540717424406074,-0.001277777777758169,7590.000000000467,878.3467741940431,383.48,0.001666666666674827,0.540717424406074,5.555555555608694e-05,9090.000000000504,2378.3467741940804,383.45,0.0,0.540717424406074,-9.999999999981886e-05,5550.00000000045,1161.6532258059733,381.45,0.18000000000000682,0.540717424406074,-9.086317722682442e-05,0.0,6711.6532258064235,137.0,161.916666666667,1.09151098692435,137.0,920801,1,1,88368.5191299937,4490.43982605969,1,11493700571,11493700570311
375.5,0.0,0.540717424406074,0.0,4890.000000000588,293.0322580641123,382.34,-0.00033333333333138805,0.540717424406074,-6.666666666656225e-05,5670.000000000517,486.96774193581587,381.77,-0.00023529411764711724,0.540717424406074,-4.613610149944446e-07,6540.000000000056,1356.9677419353557,382.13,-0.011999999999872762,0.540717424406074,-0.0006222222222144934,3930.000000000768,1253.0322580639327,381.66,0.0,0.540717424406074,2.222222222222875e-06,3119.99999999978,2063.032258064921,122.0,227.555555555556,1.00704313978841,122.0,918830,1,1,88519.4676340435,757.569706263064,1,11493700571,11493700570211
373.5,0.0,0.595057852860971,0.0,11460.000000000007,619.0645161288339,380.72,-0.0010000000000126117,0.595057852860971,0.00027777777777561246,12869.99999999931,2029.0645161281373,377.84,-0.00033333333333327467,0.595057852860971,-2.564102564075628e-06,17070.000000000327,6229.064516129154,379.82,0.00866666666652133,0.595057852860971,0.0006888888888775758,8700.000000000668,2140.935483870506,378.08,2.83687943262116e-05,0.595057852860971,-9.255067652664258e-07,6990.000000000855,3850.9354838703184,186.5,100.472222222222,1.01504878475259,186.5,914388,1,1,88869.1650017589,1992.99565254537,1,11493500561,11493500560971
370.5,0.0,0.595057852860971,0.0,7949.999999999279,428.78225806367027,376.2,-0.0013333333333214847,0.595057852860971,-0.0001555555555559943,8519.999999999385,998.7822580637767,375.9,-9.33333333333964e-05,0.595057852860971,3.4311111111854246e-06,9419.999999999052,1898.7822580634438,377.81,-0.004333333333292457,0.595057852860971,8.888888889416816e-05,5909.999999999393,1611.2177419362151,377.53,0.0,0.595057852860971,1.1111111111287117e-05,4619.999999999538,2901.2177419360705,170.0,90.8888888888889,1.00542664062846,170.0,908390,1,1,89329.5579391109,907.964841573919,1,11493500561,11493500560671
